Abbreviation,Meaning
3A ,"Analytical problem solving, Accountability, Avoiding significant events"
A/C ,Air Conditioning
A/E ,Architect/Engineer
AAC ,Alternate Alternating Current
AC ,Administrative Coordinator
AC ,Alternating Current
ACA ,Apparent Cause Analysis
ACAD ,Automated Card Access Device
ACCUM ,Accumulator
ACE ,Actuator Capability Evaluation
ACE ,Apparent Cause Evaluation
ACI ,American Concrete Institute
ACOT,Analog Channel Operational Test
ACP ,Administrative Control Procedure
ACR ,Adverse Condition Report
ACRI ,Air Conditioning and Refrigeration Institute
ACRS ,Advisory Committee on Reactor Safeguards
ACS ,Advanced Crusher and Shearer
ACU ,Alarm Control Units
ADC ,Analog-to-digital Converter
ADDIE ,"Analysis, Design, Development, Implementation, and Evaluation"
ADI ,Absolute Drift Indication
ADS ,Automatic Dialing System
AEA ,Atomic Energy Act
AEC ,Atomic Energy Commission
AEP ,American Electric Power
AFAS ,Auxiliary Feedwater Actuation Signal
AFD ,Axial Flux Difference
AFI ,Area For Improvement
AFS ,Auxiliary Feedwater System
AFW ,Auxiliary Feedwater
AI ,Administrative Instruction
AI ,Authorized Inspector
AIM ,Asset Information Management
AISC ,American Institute of Steel Construction
AIT ,Augmented Inspection Team
AITTS ,Action Item Tracking and Trending System
ALARA ,As Low as Reasonably Achievable
ALI ,Annual Limit of Intake
ALR ,Alarm Response Procedures
AMP ,Access Management Program
AMSAC ,(ATWS) Mitigation System Activation Circuitry
ANERC ,American Nuclear Energy Council
ANI ,American Nuclear Insurers
ANI ,Authorized Nuclear Inspector
ANII ,Authorized Nuclear In-service Inspector
ANI-MAELU ,American Nuclear Insurers-Mutual Atomic Energy Liability Underwriters
ANO ,Arkansas Nuclear One
ANS ,American Nuclear Society
ANSI ,American National Standards Institute
AO ,Auxiliary Operator
AOA ,Axial Offset Anomaly
AOD ,Air Operated Diaphragm
AOD ,Axial Offsite Deviation
AOO ,Anticipated Operational Occurrences
AOP ,Abnormal Operating Procedure
AOT ,Allowed Outage Time
AOV ,Air Operated Valve
AP ,Administrative Procedure
APG ,Activity per gram
API ,American Petroleum Institute
APNCI ,Administrative Procedure Non-Compliance Index
APRM ,Average Power Range Monitor
APSRA ,Axial Power Shaping Rod Assembly
AR ,Action Request
ARACS ,Automated Radiological Access Control System
ARDV ,Air Relay Dump Valve
ARM ,Area Radiation Monitor
A-R-M ,"Alert, Record and Monitor"
ARV ,Atmospheric Relief Valve
ARW (from USAR)  ,Chemical Waste
ASCE ,American Society of Civil Engineers
ASER ,Accreditation Self-Evaluation Report
ASLB ,Atomic Safety & Licensing Board
ASLB ,Auxiliary Steamline Break
ASME ,American Society of Mechanical Engineers
ASP ,Auxiliary Shutdown Panel
ASR ,Air Start Relay
ASR ,At Speed Relay
ASTM ,American Society for Testing and Materials
ATI ,Automatic Test Indication / Insertion
ATOMS ,Attitudes Toward Observations Maximizes Safety
ATWS ,Anticipated Transients Without Scram
ATWT ,Anticipated Transients Without Trip
AUG ,Air Operated Valve Users’ Group
AUX ,Auxiliary
AV ,Allowable Value
AVT ,All Volatile Treatment
AWG ,American Wire Gauge
AWO ,Automated Work Order
AWP ,Aerial Work Platform
AWS ,Alternate Work Schedule
AWS ,American Welding Society
AWWA ,American Water Works Association
B&PVC ,Boiler and Pressure Vessel Codes
B&WOG ,Bobcock & Wilcox Owners Group
"B/D, BD ",Blowdown
B/J ,bypass / jumper
BA ,Boric Acid
BABT ,Boric Acid Batching Tank
BACINS ,Boric Acid Corrosion Inspection
BAT ,Boric Acid Tank
BATP ,Boric Acid Transfer Pump
BCC ,Basic Common Cause
BCC ,Body Centered Cubic
BCMS ,Boron Concentration Measurement System
BDDS ,Blowdown Discharge Structure
BD-EMG ,Emergency Operating Procedure Background Document
BDMS ,Boron Dilution Mitigation System
BGA ,Basic Gap Analysis
bhp ,brake horsepower
BIMP ,Boron Injection Makeup Pump
BIRP ,Boron Injection Recirculation Pump
BIS ,Boron Injection System
BIST ,Boron Injection Surge Tank
BIT ,Boron Injection Tank
BIV ,Bypass Isolation Valve
BK-DOM ,Backup Domain Server
bkr ,breaker
BLA ,"Building, Level or Area"
bldg ,building
BLL ,Basic Low Level
BOD ,Board of Directors
BOE ,Basic Operating Experience
BOL ,Beginning of Life
BOM ,Bill of Materials
BOP ,Balance of Plant
BOP ,Behavior Observation Program
BPRA ,Burnable Poison Rod Assembly
BRS  ,Boron Recycle System
BS ,Bistable
BSPIS ,Blowdown and Sample Process Isolation Signal
BST ,Behavior Sciences Training
BTC ,Basic Trend Analysis
BTP ,Branch Technical Position
BTRS ,Boron Thermal Regeneration System
BWROG ,Boiling Water Reactor Owners Group
byp; BYP ,bypass
3C ,"Control, Communication, Coordination"
C&EP ,Configuration and Engineering Performance
CA ,Corrective Action
CAD ,Computer Aided Design
CAG ,Corrective Action Group
cal ,calibration
CAM ,Continuous Air Monitor
CAO ,Chief Administrative Officer
CAP ,Corrective Action Program
CAQ ,Condition Adverse to Quality
CAR ,Condenser Air Removal
CARB ,Corrective Action Review Board
CAS ,Central Alarm Station
CAS ,Compressed Air System
CAPR ,Corrective Action To Prevent Recurrence
CC ,Concurrent Checker
CCA ,Common Cause Analysis
CCDC ,Charles Curtis Development Center
CCF ,Common Cause Failure
CCN ,Calculation Change Notice
CCP ,Centrifugal Charging Pump
CCP ,Configuration Change Package
CCS ,Chemical Control System
CCS ,Combustion Control System
CCS ,Condensate Cleanup System
CCW ,Component Cooling Water
CCW ,Condenser Cooling Water
CCWP ,Component Cooling Water Pump
CCWS ,Closed Cooling Water System
CCWS ,Component Cooling Water System
CDAM ,Core Damage Assessment Methodology
CDF ,Core Damage Frequency
CDM ,Chemical Data Management
CDR ,Commodity Discrepancy Report
CDS ,Condensate Demineralizer System
CDTA ,Current Date and Time Area
CdTe ,Cadmium Telluride
CE ,Combustion Engineering
CE ,Component Engineer
CEA ,Control Element Assembly
CeCWS ,Central Chilled Water System
CEDE ,Committed Effective Dose Equivalent
CEO ,Chief Executive Officer
CEOG ,Combustion Engineering Owners Group
CES ,Component Engineering Supervisor
CET ,Core Exit Thermocouples
CFAR ,Component Failure Analysis Report
CFR ,Code of Federal Regulations
CFS  ,Condensate Feedwater System
cfs ,cubic feet per second
CGCS ,Combustible Gas Control System
CGD ,Commercial Grade Dedications
CGDTF ,Commercial Grade Dedications Testing Facility
CHARMs ,Containment High Area Radiation Monitors
CHEMP ,Calculation and Human Error Management Program
CHF ,Critical Heat Flux
chgr ,charger
CI ,Containment Isolation
CID ,Configuration Index
CIP ,Clean-in-place
circ ,circulating
CIS ,Cable Information System
CIS ,Containment Isolation Signal
CISA ,Containment Isolation Signal-Phase A
CISB ,Containment Isolation Signal-Phase B
CIT ,Continuing Instructor Training
CIV ,Combined Intermediate/Intercept Valve
CKL ,Checklist
ckt ,circuit
"CL, CL2, CL- ",Chloride
CLB ,Current Licensing Basis
CLCW ,Closed Cooling Water
CLIP ,Combustible Loading Information Program
CLLR ,Combined Local Leakage Rate
CM ,Center of Mass
CM  ,Configuration Management
CM ,Corrective Maintenance
CMA ,Core Melt Analysis
CMAA ,Crane Manufacturing Association of America
CMPSR ,Compressor
CMTR ,Certified Material Test Report
CNO ,Chief Nuclear Officer
CNS ,Cooper Nuclear Station
CNSI ,"Chem-Nuclear Systems, Inc."
COAF ,Chemistry/Operations Action Form
COB ,Centers of Business
COC ,Chain Of Custody
COE ,Centers of Excellence
COLR ,Core Operating Limits Report
conc ,concentration
COTPC………………...,Control of Training Program Content
CP ,Construction Permit
CPA ,Containment Performance Analysis
CPC ,Core Protection Calculators
CPI ,Corrugated Plate Interceptor
CPIS ,Containment Purge Isolation System/Signal
CPM ,Corporate Policy Manual
cpm ,counts per minute
CPR ,Critical Power Ratio
CPS ,Corrugated Plate Separator
CR ,Center of Rigidity
Cr ,Chromium
CR ,Condition Report
CR ,Control Receiver
CR ,Control Room
"CR, CTRL RM ",Control Room
CRA ,Control Rod Assembly
CRD ,Control Rod Drive
CRDA ,Control Rod Drop Accident
CRDM ,Control Rod Drive Mechanism
CRE ,Control Room Envelope
CREA ,Control Rod Ejection Accident
CREVS ,Control Room Emergency Ventilation System
CRIT ,Control Room Improvement Team
CRL ,Clinical Reference Lab
CRL ,Cross Reference List
CRNR ,Corner
CRS ,Control Room Supervisor
CRUD ,Chaulk River Unidentified Deposits
CRVIS ,Control Room Ventilation Isolation Signal
CRW ,Clean Radioactive Waste
CRW ,Control Rod Worth
CRW (from USAR)  ,Tritiated Waste
CS ,Containment Spray System
CSARS     ,Configuration Status Accounting Records System
CSAS ,Containment Spray Actuation Signal
CSB ,Core Support Barrel
CSD ,Cold Shutdown
CSD ,Computer Setpoint Document
CSF ,Critical Safety Function
CSF ,Critical Success Factor
CSFST ,Critical Safety Function Status Trees
CsI ,Cesium
CSIP ,Charging Safety Injection Pump
CSP ,Collection Site Person
CSS ,Containment Spray System
CST ,Calculation Standards Team
CST ,Condensate Storage Tank
CSTS ,Condensate Storage and Transfer System
CtCS ,Containment Cooling System
CTMT ,Containment
CTR (E- plan)  ,Center
CTRL BLDG ,Control Building
CTSS ,Computer Technical Specification System
CV ,Concurrent Verifier/Verification
CV ,Containment Vessel
CV ,Control Valve
CVCM ,Check Valve Condition Monitoring
CVCS ,Chemical Volume Control System
CVRI ,Check Valve Reliability Improvement
CVRIP ,Check Valve Reliability Improvement Program
"CW, CIRC WATER ",Circulating Water
CWA ,Central Work Authority
CWD ,Control Wiring Diagram
CWP ,Circulating Water Pump
CWP ,Cold Working Pressure
CWR ,Corrective Work Request
CWS ,Circulating Water System
CWSH ,Circulating Water Screen House
DAC ,Derived Air Concentration
DAE ,Declare an Event
DAS ,Data Acquisition System
DAW ,Dry Activated Waste
DBA ,Design Basis Accident
DBDP ,Design Basis Documentation Package
DBE ,Design Basis Event
DBM ,Data Base Maintenance
DBR ,Design Basis Review
DC ,Direct Current
DCCF ,Document Comment Capture Forms
DCM ,Design Control Manual
DCN ,Design Change Notice
DCO ,Document Change Only
DCP ,Design Change Package
DCRDR ,Detailed Control Room Design Review
DCS ,Digital Control System
DDCN ,Design Document Change Notice
DDHUT ,Drum Dryer Holdup Tank
DEF ,Discrepancy Evaluation Form
DEI ,Dose Equivalent Iodine
demin ,demineralizer
demin water ,demineralized water
DEP ,Drill and Exercise Performance
DEPSG ,Double Ended Pump Suction Guillotine
dept ,department
DF ,Decontamination factor
DFSS………………….,Dry Fuel Storage System
DFBN ,Debris Filter Bottom Nozzle
DFCS ,Digital Feedwater Control System
DG; D/G ,Diesel Generator
DGB ,Diesel Generator Building
DGSFR ,Degasifier
DHRRM ,Digital High Range Radiation Monitors
DI water ,Deionizer Water
DIF ,"Difficulty, Importance and Frequency"
diff ,differential
DIM ,Design Initialization Meeting
disch ,discharge
DLA,Dynamic Learning Activity
DLR ,Dosimeter of Legal Record
DMD ,Demand
DNB ,Departure from Nucleate Boiling
DNBR ,Departure from Nucleate Boiling Ratio
DNO ,Do Not Operate
DNR ,Department Of Natural Resources
DO ,Dissolved Oxygen
DODAR ,"Define Outcome, Option formulation, Data collection, Assessment, Review"
DOP ,Dioctyl-phthalate
DOT ,Departure Of Transportation
DoWS ,Domestic Water System
dP; P; DP ,Differential pressure
dpm ,Disintegrations Per Minute
DPR ,Daily Plant Report
DRAA ,Division of Risk Analysis and Application (NRC)
DRIFT ,"Diversification, Redundancy, Independence, Fail safe, and Testability"
DRM ,Daily Report Module
DRP ,Discrete Radioactive Particles
DRP ,Division of Reactor Projects
DRPI ,Digital Rod Position Indication
DRR ,Document Revision Request
DRS ,Division of Reactor Safety
DRW ,Differential Rod Worth
DRW ,Dirty Radioactive Waste
DRW (from USAR)  ,Potentially Radioactive Nontritiated Waste
DS ,Data Scanner
DS ,Document Services
DSC ,Distributed Control System
DSC ,Dry Shielded Canister
dT; T ,Differential temperature
DTD ,Digital Telemetry Display
DTI ,Desktop Instruction
DTS ,"Diversified Technologies Services, Inc."
DVR ,Design Verification Report
dwg ,drawing
DWMS ,Demineralized Water Makeup System
DWST ,Demineralized Water Storage Tank
DWSTS ,Demineralized Water Storage and Transfer System
DWT ,Dead Weight Test
E ,East
"E (e.g., 10E9)  ",Exponent
E&A ,Evaluation & Assessment
E&IS ,Engineering & Information Services
EAB ,Exclusion Area Boundary
EAC ,Engineering Advisory Committee
EAD ,Electronic Alarming Dosimeter
EAF ,Environmental Action Form
"EAL, EALS ",Emergency Action Level
EAP ,Employee Assistance Program
EBOP ,Emergency Bearing Oil Pump
EC ,Editorial Correction
ECCS ,Emergency Core Cooling System
ECP ,Employees Concerns Program
ECP ,Engineering Change Package
ECP ,Estimated Critical Position
EDA ,Effective Diaphragm Area
EDCN ,Engineering Document Change Notice
EDCP ,Emergency Dose Calculation Program
EDECAIES ,Emergency Diesel Engine Combustion Air Intake and Exhaust System
EDECWS ,Emergency Diesel Engine Cooling Water System
EDEFSTS ,Emergency Diesel Engine Fuel Oil Storage & Transfer System
EDELS ,Emergency Diesel Engine Lubrication System
EDESS ,Emergency Diesel Engine Start System
EDG ,Emergency Diesel Generator
EDI’s ,Engineering Desk Instructions
EDMS ,Electronic Data Management System
EDO ,Executive Director for Operations
EDS ,Electrical Distribution System
EDS Scanner ,Enterprise Data Server Scanner
EDY ,Effective Degradation Year
EEA ,Environmental Educational Area
EEI ,Edison Electric Institute
EEI ,Escalated Enforcement Item
EEO ,Equal Employment Opportunity
EER ,Engineering Evaluation Request
EES ,Emergency Exhaust System
EF ,Equipment Failure
EFHA ,Electrical Fire Hazards Analysis
EFOST ,Emergency Fuel Oil Storage Tank
EFPD ,Effective Full Power Days
EFPH ,Effective Full Power Hour
EFPY ,Effective Full Power Years
EFR ,Effective Follow-up Review
EFU ,Effectiveness Follow-up
EGD ,Engineering Guidelines Document
EHC ,Electrohydraulic Control
EII ,Evaluation Improvement Initiative
EIS ,Engineering Information Systems
EMG ,Emergency Procedures
EMI ,Electromagnetic Interference
EMPAC ,Employee Assistance Consultants
EMS ,Effluent Management System
ENCAPS ,Encapsulation
ENS ,Emergency Notification System
EOF ,Emergency Offsite Facility
EOF ,Emergency Operations Facility
EOL ,End of Life
"EOP, EOPs ",Emergency Operating Procedures
EP&MC ,Equipment Performance & Material Condition
EPA ,Environmental Protection Agency
EPD ,Electronic Personal Dosimeter
EPIX ,Equipment Performance & Information Exchange System
EPP  ,Environmental Protection Plan
EPR ,Engineering Procurement Requirements
EPRI ,Electric Power Research Institute
EPS ,Electronic Plant Scheduling
EQ ,Environmental Qualifications
EQ ,Equipment Reliability and Qualification
EQSD ,Equipment Qualification Summary Document
EQWP ,Equipment Qualification Work Package
ER ,Engineering Record
ER ,Environmental Report
ERDS ,Emergency Response Data System
ERFCS ,Emergency Response Facility Computer System
ERO ,Emergency Response Organization
ERT ,Event Response Team
ESF ,Engineered Safeguards Features
ESF ,Engineered Safety Features
ESF ,Engineering Support Fundamentals
ESFAS ,Engineered Safety Feature Actuation System
ESFAS Panel ,Engineered Safety Features Actuation Status Panel
ESFS ,Engineered Safety Feature System
ESOGR ,Equipment and System Operational Guidance Recommendation
ESOMS,Electronics Shift Operations and Management System
ESOP ,Emergency Seal Oil Pump
ESP ,Engineering Support Personnel
ESSA ,Engineered Safeguards System Actuation
ESW ,Essential Service Water
ESX ,Emergency Relay
ET ,Eddy Current
ETAS ,Emergency Trip Air System
evap ,evaporator
EWR ,Engineering Work Request
EWS-DB ,"Engineering Work Station, Data Base"
F.O.  ,Fuel Oil
FAC ,Flow Accelerated Corrosion
FAC ,Free Available Chlorine
FACR ,Free Available Chlorine Residual
FAI ,Failed As Is
FAS ,Fluid Actuation System
FBIS ,Fuel Building Isolation Signal
FC ,Failed Closed
FCC ,Face Centered Cubic
FCC ,Field Configuration Change
FCR ,Field Change Request
FDDR ,Field Deviation Disposition Request
FDS ,Floor Drain Socks
Fe ,iron
FEDS ,Floor and Equipment Drainage System
FEF ,Fuel Element Failure
FEG ,Functional Equipment Group
FEMA ,Federal Emergency Management Administration
FERC ,Federal Energy Resource Council
FES-OLS ,Final Environmental Statement Operating License Stage
FF ,Functional Failure
FFAC ,Find and Fix Actions Completed
FFAN ,Find and Fix Actions Needed
FFCD ,Final Fuel Cycle Design
FFD ,Fitness For Duty Violation
FFE ,Functional Failure Evaluation
FHA ,Fire Hazards Analysis
FHA ,Fuel Handling Accident
FHP ,Fuel Handling Procedure
FHS ,Fuel Handling System
fig ,figure
FIN ,Fix-it-now
FIST ,"First Time Evolution, Inferred experience, Short duration, Time"
FIST-A ,"First Time Evolution, Inferred experience, Short duration, Time, Avoidance"
FJS ,Fluid Jet System
FKA ,Function Key Area
FLP ,Final Loading Pattern
FLR ,Floor
fltr ,filter
FM ,Failure Modes
FME ,Foreign Material Exclusion
FMEA ,Failure Modes and Effects Analysis
FO ,Failed Open
FP ,Fire Protection
FPCCS ,Fuel Pool Cooling and Cleanup System
FPRCS  ,Fission Product Removal and Control System
FPS ,Fire Protection System
freq ,frequency
FRP ,Functional Restoration Procedure
FRS ,Floor Response Spectra
FRV ,Feedwater Regulating Valve
FSAR ,Final Safety Analysis Report
FSARCR ,Final Safety Analysis Report Change Request
FSAR-SA ,Final Safety Analysis Report Site Addendum
FSF ,Fuel Storage Facility
FSM ,Full Scope Modifications
FSSS ,Furnace Supervisory Safeguards System
FT ,flow transmitter
FTA ,Fault Tree Analysis
FTC ,Failed to Closed
FTE ,First Time Evolution
FTO ,Failed to Open
FW ,Feedwater
FWCV ,Feedwater Control Valve
FWIS ,Feedwater Isolation Signal
FWIV ,Feedwater Isolation Valve
FWMR ,Field Welding Material Requisition
FWP ,Feedwater Pump
G/L ,General Ledger
GAPS ,Graded Approach to Problem Solving
GARF ,General Activity Review Form
GDC.  ,General Design Criteria
GDT ,Gas Decay Tank
GEMS ,Generic / General Error Modeling System
GEN ,General Procedure
gen ,generator
GE-NE ,General Electric Nuclear Energy
GFCI ,Ground Fault Circuit Interrupter
GGDA ,General and Graphic Display Area
GL ,Generic Letter
G-M ,Geiger-Mueller
gnd ,ground
gov ,governor
gpd ,gallons per day
gpm ,gallons per minute
GRW ,Gaseous Radioactive Waste
GRWS ,Gaseous Radwaste System
GSU ,Generator Setup
GT  ,General Training
H+ ,Hydrogen
HAM ,Head Area Management/Maintenance
HAZ ,Heat Affected Zone
HCP ,Hexagonal Close Packed
HCS ,Hydrogen Control System
hdr ,header
HDR ,High Density Rack
HE ,Human Error
HEIA ,Human Error Inappropriate Action
HELB ,High Energy Line Break
HELC ,High Energy Level Cabling
HEP ,Human Error Probability
HEPA Filter ,High Efficiency Particulate Air Filter
HER ,Human Error Reduction
Hf ,Hafnium
HFAR ,Hardware Failure Analysis Report
Hga ,Inches of Mercury Absolute
"hi, Hi ",high
HIC ,High Energy Container
HIT ,High Impact Team
HOH ,Hydrogen-Hydroxide
HOO ,Headquarters Operations Office
HP ,High Pressure
HP; HPH ,Health Physics
HPCI ,High Pressure Coolant Injection
HPCS ,High Pressure Core Spray
HPES  ,Human Performance Enhancement System
HPN ,Health Physics Network
HPS ,Health Physics Supervisor
HPSI; HPI ,High Pressure Safety Injection
HPSS ,Health Physics Supervisor Support
HPU ,High Pressure Unit
HRA ,Health Risk Assessment
HRP ,Human Reliability Program
HSB ,Hot Standby
HSD ,Hot Shutdown
HSR ,High Speed Relay
HSST ,Heavy Section Steel Technology
htr ,heater
HVAC ,"Heating, Ventilation And Air Conditioning"
HVL ,Half-Value Layer
HWP ,Hazardous Waste Plan
HX; HEX ,heat exchanger
hyd ,hydraulic
Hz ,hertz
I&C ,Instrumentation and Control
I.D.  ,Inside Diameter
I/O ,Input / Output
IA ,Inappropriate Action
IA ,Instrument Air
IAC ,Interim Acceptance Criteria
IC ,Implementing Coordinator
IC ,Initiating Conditions
ICEA ,Insulated Cable Engineers Association
ICM ,Interim Compensatory Measures
IDP ,Integrated Decision-Making Panel
IEEE ,Institute of Electrical and Electronics Engineers
IES ,Illumination Engineering Standards
IFBA ,Integrated Fuel Burnable Absorbers
IFCR ,Instant Feedback Constant Reinforcement
IIT ,Incident Investigation Team
IL ,Indicating Light
ILE ,Improvement and Learning Evaluation
ILRT ,Integrated Leak Rate Test
IN ,Information Notice
INEEL ,Idaho National Engineering and Environmental Laboratory
INES ,International Nuclear Event Scale
inj  ,Injection
INPO ,Institute of Nuclear Power Operations
inst ,Instrument
intlk ,interlock
ion exch ,ion exchanger
IPE ,Individual Plant Evaluation
IPE ,Individual Plant Examination
IPEEE ,Individual Plant Examination of External Events
IPS ,Integrated Plant Scheduling
IPTE ,Infrequently Performed Tests or Evolutions
IR ,Inspection Report
IR ,Intermediate Range / Issue Report
IRAG ,Integrated Regulatory Affairs Group
IRPI ,Individual Rod Position Indicators
IRW ,Integral Rod Worth
ISA ,Instrument Society of America
ISEG ,Independent Safety Engineering Group
ISFSI,Independent Spent Fuel Storage Installation
ISI ,In Service Inspection
IST ,Inservice Testing
ISTS ,Improved Standard Technical Specifications
ITIP ,Industry Technical Information Program
ITP ,Individual Training Plan
ITS ,Improved Technical Specifications
ITS ,Incore Thermocouple System
IT-TRG ,Instructor Training – Training Review Group
IV ,Independent Verifier/Verification
IV ,Intercept Valve
JAR ,Job Authorization Request
JAS ,Job Authorization Summary
JPA ,Job Performance Appraisal
JPM ,Job Performance Measures
JCO ,Justification for Continued Operation
JFA ,Jumper Faucet Assembly
JIC ,Joint Information Clearinghouse
JITT ,Just-in-time Training
JOG ,Joint Owners’ Group
JRB ,Job Review Board
JRR ,John Redmond Reservoir
JTA ,Job-Task-Analysis
K&S ,Knowledge & Skills
KB ,Knowledge Based
KDEM ,Kansas Department of Emergency Management
KDHE ,Kansas Department of Health and Environment
Kr ,krypton
Kv ,kilovolt
KW ,kilowatt
L.C.  ,Local Control
L.C. / LC ,Locked Closed
L.O.  ,Locked Open
L.O.  ,Lube Oil
L.O. / LO ,Locked Out
LAS ,Large Area Smears
LC ,Level Controller
LC ,Load Center
LC ,Local Control
LCM  ,Life-cycle Management
LCO ,Limiting Conditions of Operation(s)
LDV ,Licensed Driven Vehicle
LEFM ,Linear Elastic Fracture Mechanics
LEI ,Learning Effectiveness Index
LELC ,Low Energy Level Cabling
LER ,Licensee Event Report
LERF ,Large Early Release Frequency
LHR ,Linear Heat Rate
LHRA ,Locked High Ration Area
LHST ,Laundry and Hot Shower Tank
Li+ ,Lithium
LIM ,Lateral integration Mechanisms
LiOH ,Lithium Hydroxide
LIST   ,Licensing Information Search Tool
LLD ,Lower Limit of Detection
LLRT ,Local Leak Rate Test
LLRW ,Low Level Radioactive Waste
Lo ,low
LOA ,Level Of Assurance
LOCA ,Loss of Coolant Accident
LOL ,Loss of Load
LOMF ,Loss of Manual Feedwater
LOOP ,Loss of Offsite Power
LOP ,Loss of Power
LOR ,Lock Out Relay
LOW ,Latent Organizational Weakness
LP ,Low Pressure
LPCSI  ,Low Pressure Core Spray
LPPT ,Low Power Physics Testing
LPRM ,Local Power Range Monitor
LPSI  ,Low Pressure Safety Injection
LPZ ,Low Population Zone
LR ,level recorder
LRCB ,Loss of Reactor Coolant Boundary
LRP ,Liquid Release Permit
LRW ,(Potentially Radioactive Secondary) Liquid Radioactive Waste
LRWS ,Liquid Radwaste System
LS ,level switch
LSA ,Low Specific Activity
LSE ,Less Significant Event
LSELS ,Load Shedder Emergency Load Sequencer
LSI-R ,Licensed Supervising Instructor for Requal
LSO ,Limited Scope Orientation
LSP  ,Low Suction Pressure
LSR ,Low Speed Relay
LSS ,Low Safety Significant
LSSS ,Limiting Safety Systems Settings
LT ,level transmitter
ltdn ,letdown
LTI ,Long Term Installation
LTOP; LTOPS ,Low Temperature Overpressure Protection System
LVDT ,Linear Variable Differential Transducer
LWHST ,Laundry Water and Hot Shower Storage Tank
LWPS ,Liquid Waste Processing System
LWR ,Light Water Reactor
LWST ,Laundry Water Storage Tank
M&TE ,Measuring and Testing Equipment
m/u ,makeup
MA ,Manual Action
"MAC, MIF ",Macroinvertebrate Fouling
MAF,Main Access Facility
MARC ,Management Action Response Checklist
MARC ,"Monitor, Alert, Record And Control"
MAWP ,Maximum Allowable Working Pressure
max ,maximum
MC / RP ,Manager Chemistry / Radiation Protection
